customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID-0054,Male,0,No,Yes,4,No,No,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),64.97,188.93,No
ID-0055,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),36.88,1587.58,No
ID-0056,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,27.31,37.35,No
ID-0057,Male,0,Yes,No,41,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.57,3996.03,No
ID-0058,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.7,1388.94,No
ID-0059,Male,0,Yes,No,2,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),60.92,93.46,Yes
ID-0060,Male,0,Yes,Yes,45,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,97.58,4295.15,No
ID-0061,Male,0,Yes,No,21,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),110.46,2275.8,Yes
ID-0062,Male,0,No,No,32,Yes,No,No,No,No,No,No,Yes,No,One year,Yes,Mailed check,58.25,1816.11,No
ID-0063,Male,0,Yes,No,31,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),65.05,2018.52,No
ID-0064,Male,0,No,No,16,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,89.77,1450.14,No
ID-0065,Female,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,33.47,1858.28,No
ID-0066,Female,0,No,No,2,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.81,248.83,No
ID-0067,Male,1,Yes,No,69,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,45.48,3083.0,No
ID-0068,Female,1,Yes,No,48,Yes,No,No,No internet service,No,No internet service,No,Yes,No,One year,No,Electronic check,60.04,2851.47,No
ID-0069,Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.78,6044.03,No
ID-0070,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,115.99,3457.73,Yes
ID-0071,Female,0,No,No,20,Yes,Yes,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.78,1148.21,No
ID-0072,Male,0,No,No,15,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Electronic check,45.15,585.13,No
ID-0073,Female,1,No,No,16,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Electronic check,31.85,502.02,No
ID-0074,Male,0,No,Yes,0,Yes,No,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),33.71, ,No
ID-0075,Female,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No,Yes,No,Yes,Two year,No,Mailed check,69.53,4948.45,No
ID-0076,Female,1,Yes,No,64,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.26,5578.17,No
ID-0077,Female,0,No,No,65,Yes,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,54.65,3503.35,No
ID-0078,Male,0,Yes,No,36,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,42.14,1501.46,No
ID-0079,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.31,418.2,No
ID-0080,Male,1,Yes,No,61,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.34,2870.49,No
ID-0081,Female,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.61,1653.68,Yes
ID-0082,Male,1,Yes,Yes,36,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),92.84,3365.51,Yes
ID-0083,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,100.29,3322.51,No
ID-0084,Male,0,No,Yes,37,No,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,70.74,2591.16,No
ID-0085,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),111.16,5812.08,Yes
ID-0086,Female,0,Yes,No,14,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,97.71,1352.99,Yes
ID-0087,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,97.43,3998.12,No
ID-0088,Female,0,No,No,3,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,19.76,96.74,No
ID-0089,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,22.94,878.54,No
ID-0090,Female,0,No,No,22,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),95.3,2100.82,No
ID-0091,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),48.65,653.67,No
ID-0092,Female,1,No,Yes,11,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),46.53,478.77,Yes
ID-0093,Female,1,Yes,No,69,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,47.88,3291.76,No
ID-0094,Female,0,No,Yes,53,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,93.95,4994.55,No
ID-0095,Female,0,No,No,37,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),86.45,3188.76,No
ID-0096,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),23.01,574.1,No
ID-0097,Female,0,No,No,18,Yes,No,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Electronic check,97.93,1739.85,No
ID-0098,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,62.21,4152.98,No
ID-0099,Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.78,5793.89,No
ID-0100,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,113.6,280.39,No
ID-0101,Female,0,No,Yes,9,Yes,Yes,No,No,No,No,No,Yes,No,One year,No,Mailed check,82.29,778.42,No
ID-0102,Female,0,Yes,Yes,11,Yes,No,No,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,86.93,882.1,No
ID-0103,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,52.3,3557.04,Yes
ID-0104,Female,0,Yes,Yes,6,No,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,80.83,421.03,Yes
ID-0105,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),90.38,3772.26,No
ID-0106,Female,0,Yes,No,22,No,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,44.34,975.68,No
ID-0107,Female,0,No,No,1,No,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.44,67.62,No
ID-0108,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,27.07,1058.52,No
ID-0109,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Two year,No,Mailed check,95.38,6464.93,No
ID-0110,Female,0,No,No,19,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,81.42,1438.42,No
ID-0111,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),56.78,2417.71,No
ID-0112,Female,0,No,Yes,69,Yes,No,No,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,71.85,5001.16,No
ID-0113,Female,0,No,Yes,50,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,86.41,4360.35,No
ID-0114,Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,36.51,1157.2,No
ID-0115,Female,1,No,No,40,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,One year,Yes,Mailed check,86.39,3473.96,No
ID-0116,Male,1,Yes,Yes,57,Yes,No,DSL,No,Yes,No internet service,No,No,No,One year,No,Electronic check,81.48,4642.75,No
ID-0117,Female,0,Yes,No,4,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,83.41,438.37,No
ID-0118,Female,1,Yes,No,32,No,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),50.84,1536.9,Yes
ID-0119,Male,0,No,No,42,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),33.24,1426.59,No
ID-0120,Female,0,Yes,No,18,Yes,No phone service,No,No,No internet service,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),57.51,1071.09,No
ID-0121,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Electronic check,27.49,847.94,No
ID-0122,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.51,28.62,Yes
ID-0123,Male,0,No,No,0,Yes,No,No,No,No,Yes,No,No internet service,Yes,Two year,No,Electronic check,73.94, ,No
ID-0124,Male,0,Yes,Yes,40,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),111.47,4470.3,No
ID-0125,Female,0,No,No,47,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,40.5,1915.55,No
ID-0126,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),72.2,2651.44,No
ID-0127,Male,0,Yes,No,4,Yes,No,No,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,33.96,94.75,No
ID-0128,Female,1,Yes,No,10,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.22,709.29,No
ID-0129,Female,0,No,No,21,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.2,1962.28,No
ID-0130,Female,0,No,No,63,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),100.1,6383.84,No
ID-0131,Male,0,Yes,No,11,Yes,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),88.67,1011.28,No
ID-0132,Male,0,Yes,No,52,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,38.45,1938.79,No
ID-0133,Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.42,3437.67,No
ID-0134,Male,0,Yes,No,52,Yes,No,No,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,100.53,5284.04,No
ID-0135,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),92.28,1793.79,Yes
ID-0136,Male,0,Yes,Yes,18,Yes,No,No,No,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,99.09,1795.82,No
ID-0137,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),27.6,1849.02,No
ID-0138,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,91.49,6514.25,No
ID-0139,Male,0,Yes,No,65,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.75,4101.15,No
ID-0140,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Two year,Yes,Mailed check,54.05,3180.87,No
ID-0141,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.33,1656.65,No
ID-0142,Female,0,Yes,No,58,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,42.05,2441.33,Yes
ID-0143,Female,1,No,No,22,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),78.62,1694.99,No
ID-0144,Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,88.92,166.18,Yes
ID-0145,Male,1,No,No,55,Yes,No,No,No internet service,No,Yes,Yes,No,Yes,Two year,No,Mailed check,73.01,4091.86,No
ID-0146,Male,0,Yes,No,57,No,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),115.48,6618.83,No
ID-0147,Male,0,No,No,61,Yes,Yes,No,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,36.88,2234.07,No
ID-0148,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.03,1284.64,No
ID-0149,Female,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,No,Electronic check,93.03,5518.45,No
ID-0150,Male,0,Yes,No,36,Yes,No,No,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Mailed check,42.28,1521.8,No
ID-0151,Male,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),22.38,1271.72,No
ID-0152,Male,1,No,No,64,Yes,No,No,No internet service,No,No,No,Yes,No internet service,One year,Yes,Mailed check,42.1,2683.82,No
ID-0153,Male,0,No,No,13,Yes,No,No,No internet service,No,No internet service,Yes,No,No,Two year,No,Electronic check,18.7,240.49,No
ID-0154,Male,1,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,64.28,290.66,Yes
ID-0155,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,22.42,1413.82,No
ID-0156,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.9, ,No
ID-0157,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,108.95,6804.18,No
ID-0158,Male,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,One year,Yes,Mailed check,50.4,3364.89,No
ID-0159,Female,0,Yes,No,19,Yes,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,77.35,1463.22,No
ID-0160,Male,0,No,Yes,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,101.41,4190.94,Yes
ID-0161,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,44.51,1883.36,No
ID-0162,Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),89.41,6063.0,Yes
ID-0163,Female,1,No,Yes,38,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,108.38,4052.51,No
ID-0164,Female,0,No,No,61,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),87.35,5287.52,No
ID-0165,Male,1,No,No,47,Yes,No,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),86.7,4028.93,No
ID-0166,Female,0,Yes,Yes,5,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,28.8,176.82,No
ID-0167,Male,0,No,No,41,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,34.01,1357.9,No
ID-0168,Male,0,Yes,No,57,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.2,4405.76,Yes
ID-0169,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,37.23,1581.58,Yes
ID-0170,Female,0,No,No,9,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.18,635.41,No
ID-0171,Male,0,No,No,38,Yes,No,No,No internet service,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),105.88,4030.54,No
ID-0172,Male,0,No,No,12,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,114.04,1320.47,Yes
ID-0173,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,59.7,2264.2,No
ID-0174,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,33.23,251.99,No
ID-0175,Female,0,Yes,No,15,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),110.23,1582.16,No
